t_mid,flow_veh_h,density_veh_km,mean_speed_kmh
2025-10-06 18:00:00,61.09056238059258,18.84510470480674,3.2417205071304527
2025-10-06 18:00:30,59.22590995494103,10.383705525535913,5.703735512268807
2025-10-06 18:01:00,55.16157129853291,12.972519779263717,4.252186332119336
2025-10-06 18:01:30,46.09156461328707,20.344747498411436,2.2655265009745635
2025-10-06 18:02:00,28.175361142242526,18.9792191005942,1.484537429749173
2025-10-06 18:02:30,35.9339327755679,19.92208394648258,1.8037235899667192
2025-10-06 18:03:00,38.86514909626641,20.645488871841835,1.882500789277709
2025-10-06 18:03:30,36.65577415889114,17.845342841753354,2.054080691188873
2025-10-06 18:04:00,101.16569723635521,15.894587987789695,6.364788902617119
2025-10-06 18:04:30,76.05953146661456,19.16616644146245,3.968426951676358
2025-10-06 18:05:00,52.61979355292874,20.279722336224527,2.5946999017307535
2025-10-06 18:05:30,57.22395802019051,20.812115848509386,2.7495502349074723
2025-10-06 18:06:00,78.55404933091049,16.87809355964102,4.654201557381416
2025-10-06 18:06:30,17.950907658990182,19.271832328758855,0.931458273025887
2025-10-06 18:07:00,11.474262343083444,20.255337900671144,0.5664809147767046
2025-10-06 18:07:30,68.21213743516442,17.719356590987786,3.849583199305199
2025-10-06 18:08:00,84.33922212722193,20.812115848265545,4.0524097954341665
2025-10-06 18:08:30,46.07922037241327,22.258925699532703,2.070145747122946
2025-10-06 18:09:00,53.60280201426906,21.446111176677,2.499418266215229
2025-10-06 18:09:30,69.0595911505715,19.767649187469793,3.4935662048447624
2025-10-06 18:10:00,64.82713932361493,18.068866835646876,3.5877811217093996
2025-10-06 18:10:30,36.207142483745706,22.21828497283822,1.62961013993694
2025-10-06 18:11:00,52.386544873618035,23.465955264180256,2.2324488512762053
2025-10-06 18:11:30,61.816062860252686,20.442285241234593,3.023931137383903
2025-10-06 18:12:00,28.402863638719694,20.917781736720208,1.3578334450664893
2025-10-06 18:12:30,79.33838420921349,13.407375549274073,5.917517855573842
2025-10-06 18:13:00,78.18920317681042,14.785096164563194,5.288379751239881
2025-10-06 18:13:30,62.093679714984084,19.389690434441565,3.2024069659558974
2025-10-06 18:14:00,79.05011836842337,17.341397837837636,4.5584628821525515
2025-10-06 18:14:30,59.97391068601671,19.12552571476797,3.135804556719047
2025-10-06 18:15:00,38.92121630605194,16.065279037212044,2.4226915832522193
2025-10-06 18:15:30,42.01512284406114,18.121699779081712,2.31849789789367
2025-10-06 18:16:00,42.96272019158794,16.565159968372967,2.5935590283229693
2025-10-06 18:16:30,37.33595259165755,8.274451839195068,4.512196495579527
2025-10-06 18:17:00,4.010796639340001,6.4212347275668735,0.6246145499278093
2025-10-06 18:17:30,69.22256307716724,5.718150165798704,12.105761665931752
2025-10-06 18:18:00,108.88694061705006,16.837452833860954,6.466948515993644
2025-10-06 18:18:30,46.4983874594237,20.734898469643085,2.242518212833288
2025-10-06 18:19:00,84.00757328319546,13.870679827165882,6.056485646699572
2025-10-06 18:19:30,32.72508965327387,9.404264025403043,3.479814004038594
2025-10-06 18:20:00,22.4591335464776,2.072677032340197,10.835809533296983
2025-10-06 18:20:30,74.56703885945953,5.827880126398549,12.794882056975265
2025-10-06 18:21:00,27.395530757410977,2.5766220363778385,10.632343576445942
2025-10-06 18:21:30,0.06719536354710325,0.020320362981474993,3.3067993720565783
2025-10-06 18:22:00,37.450810915628935,11.257481136543548,3.3267487159323528
2025-10-06 18:22:30,31.493903448371217,9.948849755403636,3.165582376119969
2025-10-06 18:23:00,34.65164208408596,16.34163597545482,2.1204512287590305
2025-10-06 18:23:30,36.63390949091885,12.667714333505256,2.891911557716819
2025-10-06 18:24:00,50.607630170354916,16.813068398307568,3.010017503732345
2025-10-06 18:24:30,29.00630449367074,19.405946725338815,1.494712157268602
2025-10-06 18:25:00,43.399112228690456,11.265609282053138,3.852353755764292
2025-10-06 18:25:30,54.63030017278504,19.43439523291546,2.811011071765141
2025-10-06 18:26:00,47.20030466092961,17.117873844309873,2.7573695828246443
2025-10-06 18:26:30,48.840451279237634,16.402597064947898,2.9776047711132856
2025-10-06 18:27:00,28.169900363034415,19.316537127659483,1.458330764819008
2025-10-06 18:27:30,32.83859326114836,14.126716400781236,2.3245736892780213
2025-10-06 18:28:00,54.51310492140895,16.142496417724296,3.3769934656175065
2025-10-06 18:28:30,58.50232169182352,21.051896133361126,2.778957359528027
2025-10-06 18:29:00,33.14412939497231,25.221634633960672,1.3141150395678194
2025-10-06 18:29:30,32.95940370477314,16.792748035265134,1.9627165033118867
2025-10-06 18:30:00,35.285828052250594,15.480052581309463,2.2794385139785973
2025-10-06 18:30:30,45.80634687632366,13.452080347626051,3.405149664037452
2025-10-06 18:31:00,32.416677720410966,15.020812375562839,2.158117477930104
2025-10-06 18:31:30,57.87343864454107,15.935228713447842,3.6317921559356923
2025-10-06 18:32:00,28.419595123444353,10.208950403053967,2.7837920649455548
2025-10-06 18:32:30,16.729596241931887,15.845819116743886,1.0557735209948307
2025-10-06 18:33:00,55.57805051219359,14.329920032241935,3.878462014243239
2025-10-06 18:33:30,50.40278696920096,17.38610263643346,2.899027345184272
2025-10-06 18:34:00,39.363023764595155,13.488657001199973,2.9182315008153408
2025-10-06 18:34:30,46.82258276420348,12.85059760094814,3.643611310399201
2025-10-06 18:35:00,26.451494436804655,21.019383552541996,1.2584334060361022
2025-10-06 18:35:30,46.3000615875888,22.242669408391606,2.081587454162356
2025-10-06 18:36:00,58.21738905091474,17.447063725865572,3.336801536673845
2025-10-06 18:36:30,62.82725347121726,20.75115475980881,3.0276509523654154
2025-10-06 18:37:00,87.10262923840203,18.857296922522472,4.619041085065051
2025-10-06 18:37:30,85.59619406072443,19.28402454635267,4.438710076051728
2025-10-06 18:38:00,34.07164501552738,20.812115848692272,1.6371062540317483
2025-10-06 18:38:30,52.146874796397775,16.557031823655876,3.149530383935898
2025-10-06 18:39:00,36.14827792485842,12.887174254765906,2.8049809221358317
2025-10-06 18:39:30,25.65953329548352,18.345223773767735,1.3987037504647226
2025-10-06 18:40:00,55.45264900475785,9.06694599876449,6.115912569934146
2025-10-06 18:40:30,84.2814465973345,13.362670750373447,6.307230655591742
2025-10-06 18:41:00,72.79445085523886,18.910129866384036,3.8494950256604716
2025-10-06 18:41:30,64.30677933539162,12.26130707253461,5.244692018148631
2025-10-06 18:42:00,68.47093854390044,15.951485004406054,4.292449168524917
2025-10-06 18:42:30,52.36846910645362,22.185772391592366,2.3604528245453125
2025-10-06 18:43:00,26.068648506401225,21.925671744490685,1.1889555225577777
2025-10-06 18:43:30,53.386817401322,20.104967214108346,2.6554043502174247
2025-10-06 18:44:00,67.65942966676474,15.675128066650966,4.316355782171313
2025-10-06 18:44:30,31.095555772853537,3.446333575727979,9.02279338014607
